lane,last_hits,denies,gold_per_min,xp_per_min,tower_damage,hero_damage,hero_healing,camps_stacked,kills,deaths,assists,sen_placed,obs_placed,match_id,start_time,win,hero_id,account_id,leaguename
3,91,1,347,560,498,16783,1775,0,5,6,21,1,3,5846188553,1613813318,TRUE,7,83978988,Oceanic Esports Dota League Season 3
2,60,9,321,530,336,12369,0,2,5,6,15,2,1,5895330554,1616139021,TRUE,7,118736004,Oceanic Esports Dota League Season 3
2,69,2,320,565,19,11050,100,0,5,6,13,1,2,5826687025,1612942401,TRUE,7,954040285,WCAA冬季电子竞技挑战赛
1,99,1,361,665,1483,16711,0,0,5,5,26,4,3,5845752660,1613792362,TRUE,7,89972122,Oceanic Esports Dota League Season 3
3,54,1,361,573,1403,14826,0,6,5,5,21,7,7,5888195647,1615794059,TRUE,7,120901780,LPL Pro Dota 2 Season 1 2021
1,116,0,381,590,150,13985,0,0,5,5,17,5,3,5840528683,1613550669,TRUE,7,39087880,Oceanic Esports Dota League Season 3
1,32,0,326,489,0,12511,0,1,5,5,15,4,6,5840600275,1613553450,TRUE,7,143278997,DPC Winter 21 League (SEA) presented by PGL
2,91,1,320,361,0,12901,0,2,5,5,6,3,6,5844387556,1613729712,FALSE,7,98172857,Snow Sweet Snow #2
1,41,1,322,493,374,14080,400,1,5,4,19,4,6,5823594023,1612785776,TRUE,7,314584168,Snow Sweet Snow #1
3,52,0,361,509,381,13350,489,4,5,4,19,3,4,5830815778,1613131927,TRUE,7,177453057,DPC Winter 21 League (EEU) presented by ESL One
3,66,2,340,503,551,11913,0,1,5,4,19,1,2,5912914662,1616894627,TRUE,7,111750003,Copa Dota 2 Brasil
1,60,1,333,553,879,13195,0,2,5,3,19,2,3,5852873943,1614125248,TRUE,7,98462965,DPC Winter 21 League (NA) presented by BTS
1,91,2,316,548,547,25535,0,4,5,3,18,3,6,5815650109,1612321798,TRUE,7,1138108910,DPC Winter 21 League (NA) presented by BTS
3,27,1,320,472,681,12916,0,0,5,2,26,1,3,5882167110,1615547840,TRUE,7,83978988,Oceanic Esports Dota League Season 3
2,99,7,378,560,602,11204,0,2,5,0,19,1,7,5826363584,1612928094,TRUE,7,96708830,WCAA冬季电子竞技挑战赛
1,56,8,316,467,0,12764,0,5,4,12,17,4,4,5855872310,1614280238,FALSE,7,177453057,Snow Sweet Snow #2
3,62,7,235,366,0,25225,0,0,4,12,8,4,4,5822405090,1612716970,FALSE,7,256156323,DPC Winter 21 League (EEU) presented by ESL One
3,64,3,294,403,0,10180,0,1,4,10,14,4,1,5858262228,1614412373,TRUE,7,118736004,Oceanic Esports Dota League Season 3
3,141,2,344,500,0,16011,0,4,4,9,18,1,2,5861119651,1614529012,TRUE,7,106809101,Snow Sweet Snow #2
2,91,6,327,468,0,12864,400,6,4,9,14,1,2,5848627918,1613914361,FALSE,7,158847773,Moon Studio Asia 
3,50,3,279,331,0,8703,0,0,4,8,5,2,4,5851445280,1614058990,FALSE,7,140159807,WCAA Spring Festival cup
2,104,2,354,570,480,13711,185,0,4,7,19,2,5,5876020229,1615260186,TRUE,7,98462965,BTS Dota 2 Online
3,175,0,368,565,1343,28120,0,3,4,6,28,7,4,5814546054,1612256542,TRUE,7,207829314,DPC Winter 21 League (CN) presented by Perfect World
3,52,0,303,631,285,12659,0,1,4,6,23,1,3,5868332000,1614941352,TRUE,7,83978988,Oceanic Esports Dota League Season 3
1,99,1,401,561,1231,17706,0,1,4,6,21,1,3,5828382412,1613019616,TRUE,7,209287073,DPC Winter 21 League (SEA) presented by PGL
3,163,3,412,664,1863,11838,400,2,4,6,20,1,5,5893077230,1616018797,TRUE,7,85312703,Copa Dota 2 Brasil
1,61,0,232,297,0,12492,0,4,4,6,7,2,3,5840675623,1613556346,FALSE,7,9403474,Snow Sweet Snow #2
3,66,2,348,630,422,15015,125,1,4,5,27,8,5,5905202709,1616578229,TRUE,7,89972122,Oceanic Esports Dota League Season 3
1,71,0,336,589,1497,17857,0,0,4,5,23,3,6,5841853539,1613604180,TRUE,7,115464954,DPC Winter 21 League (WEU) presented by DreamLeague
1,58,1,316,634,286,13396,0,1,4,5,22,2,2,5830246201,1613110703,TRUE,7,190738832,WCAA Spring Festival cup
1,117,0,349,591,387,11946,0,0,4,5,18,3,7,5826813187,1612947759,TRUE,7,98172857,Snow Sweet Snow #1
4,69,2,223,316,0,9319,0,1,4,5,4,5,5,5821512208,1612677498,FALSE,7,139406237,DPC Winter 21 League (CN) presented by Perfect World
2,83,1,363,539,202,17619,0,0,4,4,29,10,6,5836355946,1613370553,TRUE,7,297312417,Moon Studio Asia 
1,91,1,388,734,538,20502,0,1,4,4,27,2,2,5820886518,1612633966,TRUE,7,101779337,DPC Winter 21 League (SA) presented by OGA
1,77,2,372,551,0,12833,250,0,4,4,21,2,2,5840175466,1613536184,TRUE,7,91741256,DPC Winter 21 League (NA) presented by BTS
1,106,0,379,585,227,8395,0,2,4,4,18,3,3,5828591196,1613030404,TRUE,7,190738832,Moon Studio Asia 
1,84,2,320,429,236,12902,0,3,4,4,16,3,5,5815364634,1612296480,TRUE,7,109512357,DPC Winter 21 League (WEU) presented by DreamLeague
3,43,9,308,465,666,15906,0,1,4,4,16,1,3,5841745664,1613595283,TRUE,7,404501247,DIGI CUP MONTHLY
1,105,2,339,565,780,21908,0,0,4,4,13,1,2,5821371654,1612668114,TRUE,7,954040285,WCAA冬季电子竞技挑战赛
1,57,6,290,403,43,13670,0,0,4,4,9,8,7,5894898041,1616108477,FALSE,7,124438626,Copa Dota 2 Brasil
1,85,1,392,605,238,10567,0,1,4,3,16,2,4,5815767728,1612332224,TRUE,7,140159807,WCAA Spring Festival cup
1,50,1,344,605,94,11045,0,1,4,3,16,1,3,5840660943,1613555708,TRUE,7,190738832,WCAA Spring Festival cup
1,67,4,367,522,344,12606,0,1,4,3,15,2,2,5823498722,1612782270,TRUE,7,152859296,DPC Winter 21 League (SEA) presented by PGL
3,112,0,343,526,220,12363,0,3,4,3,14,5,7,5823083701,1612762944,TRUE,7,140159807,WCAA冬季电子竞技挑战赛
1,14,0,292,425,0,6146,0,0,4,3,12,5,4,5962900883,1619282273,TRUE,7,96133582,تورنومنت سطح حرفه ای اِستیم مَن
3,67,3,339,553,0,15095,400,3,4,2,21,1,3,5920851541,1617270502,TRUE,7,118736004,Oceanic Esports Dota League Season 3
1,67,3,374,543,397,9929,0,2,4,2,19,1,5,5823138531,1612764558,TRUE,7,313855674,DireTide League
3,41,2,321,556,738,10787,0,3,4,2,15,4,5,5828556541,1613028672,TRUE,7,89972122,Oceanic Esports Dota League Season 3
3,48,0,368,477,331,10719,0,1,4,2,13,1,2,5829518295,1613066280,TRUE,7,90423751,DPC Winter 21 League (EEU) presented by ESL One
3,31,2,324,431,702,7876,0,2,4,2,9,2,6,5824248643,1612807073,TRUE,7,117483894,Snow Sweet Snow #1
1,59,1,256,314,0,8634,0,1,3,16,7,19,14,5861178214,1614531149,FALSE,7,420299018,YouTube SIVVIT - Big Russian Show
3,190,3,383,602,232,19749,15,2,3,13,31,2,4,5834626743,1613294749,TRUE,7,128367019,WCAA Spring Festival cup
1,82,4,274,430,0,14574,0,1,3,13,15,4,4,5839926601,1613516687,FALSE,7,97235629,DPC Winter 21 League (NA) presented by BTS
3,67,3,268,560,0,22290,0,1,3,11,18,5,4,5836594590,1613379631,FALSE,7,177453057,Snow Sweet Snow #2
2,75,4,274,412,32,17408,325,2,3,11,17,1,2,5845931706,1613802564,FALSE,7,954040285,WCAA Spring Festival cup
1,43,1,300,471,471,19902,85,2,3,11,16,6,6,5891877334,1615970801,TRUE,7,83978988,Oceanic Esports Dota League Season 3
3,81,0,349,671,297,18833,125,1,3,10,26,3,2,5850770446,1614013451,TRUE,7,367265304,DIGI CUP MONTHLY
1,46,1,246,349,0,10420,0,2,3,10,13,1,5,5817154410,1612422628,FALSE,7,141010367,WCAA冬季电子竞技挑战赛
3,85,3,321,531,0,19625,420,1,3,9,21,5,3,5912756164,1616883419,TRUE,7,85312703,Copa Dota 2 Brasil
1,87,1,337,465,673,12351,125,2,3,9,16,2,2,5858557071,1614424284,TRUE,7,164530809,Moon Studio Asia 
3,68,2,284,479,639,11290,400,0,3,9,15,7,7,5938183420,1618070001,FALSE,7,200056681,تورنومنت سطح حرفه ای اِستیم مَن
1,81,2,265,501,396,9546,0,2,3,9,13,4,6,5932302031,1617799806,FALSE,7,209287073,Moon Studio Asia 
1,43,2,219,363,45,11146,0,0,3,9,12,4,4,5855291977,1614258204,FALSE,7,214735983,Snow Sweet Snow #2
1,68,5,242,358,0,10404,792,0,3,9,9,1,2,5880146539,1615455223,FALSE,7,118736004,Oceanic Esports Dota League Season 3
3,49,4,308,446,761,10321,0,2,3,8,17,1,1,5895415941,1616142895,TRUE,7,118736004,Oceanic Esports Dota League Season 3
1,88,0,325,592,0,17365,0,4,3,8,16,2,5,5843951284,1613708716,TRUE,7,954040285,WCAA Spring Festival cup
1,76,1,267,423,0,18755,0,2,3,8,16,2,2,5818562596,1612512008,FALSE,7,182331313,DPC Winter 21 League (CN) presented by Perfect World
3,194,1,347,543,573,14794,0,2,3,8,15,1,5,5828627816,1613031848,TRUE,7,39087880,Oceanic Esports Dota League Season 3
